concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
Max. Marks,Solve any three questions out of five: (05 marks each),2165113,Agile Software,SEM-V.pdf,0.3116,3,1,0.0909,0,admin_rubric_noise,admin_rubric_noise
List of Experiments,To study and implement IoT Data processing using Pandas,2166121,Internet of Things,SEM-V.pdf,0.1251,14,1,0.0,0,admin_rubric_noise,admin_rubric_noise
"must be from different modules. For example, if Q.2 has part (a) from Module 3 then part","modules. For example, if Q.2 has part (a) from Module 3 then part",2165113,Agile Software,SEM-V.pdf,0.8621,12,1,0.8125,1,length_bound,length_bound
Introduction to OOP- Basic of,linking model and view,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1749,9,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Anish Nath,PACKT publishing,2344115,Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0702,1,1,0.0,0,publisher_citation,publisher_citation; person_name
Real-world,linking model and view,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1075,14,1,0.0,0,lab_or_project_course,lab_or_project_course
a. GUI Calculator (Python Tkinter / Java Swing),b. Traffic Light Simulation (JavaScript + HTML/CSS),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1284,3,1,0.0,0,lab_or_project_course,lab_or_project_course
and Edge computing platforms,as edge nodes,2166124,Edge Computing,SEM-V.pdf,0.5602,1,1,0.1667,1,truncated_fragment,truncated_fragment
b. File Organizer Script,Use state variables to track behavior,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0589,9,1,0.0,0,lab_or_project_course,lab_or_project_course
Implementation of hash functions and its associated,Search and Display operations,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1832,7,1,0.1,0,subject_mismatch,subject_mismatch; lab_or_project_course
Q3: List two common security threats in blockchain and their mitigation strategies,Q3: Give one example of a real,2166126,Blockchain,SEM-V.pdf,0.2167,4,1,0.0556,0,admin_rubric_noise,admin_rubric_noise
Choosing the right DevOps tools and challenges,Source Tools in DevOps,2165113,Agile Software,SEM-V.pdf,0.7288,3,1,0.2222,1,truncated_fragment,truncated_fragment
Develop a short report on MQTT or CoAP protocol implementation for IoT data,Identify and analyze common vulnerabilities in IoT systems. Suggest techniques for,2166121,Internet of Things,SEM-V.pdf,0.4292,10,1,0.0909,0,truncated_fragment,truncated_fragment
C’s of DevOps Lifecycle for Business,Choosing the right DevOps tools and challenges,2165113,Agile Software,SEM-V.pdf,0.58,2,1,0.0769,1,publisher_citation,publisher_citation; truncated_fragment
radio buttons,utilizing grid systems and essential components like headers,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0687,5,1,0.0,0,lab_or_project_course,lab_or_project_course
Real-time,Deadlock detection and recovery,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2544,2,1,0.0,1,generic_lone_term,generic_lone_term
Self-learning Topics: Performance comparison of,Implementation of Page,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1455,9,1,0.125,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
"Term Work: Term Work shall consist of list of all practicals’ based on the above list. Also, the Term work Journal must",include at least 2 assignments and Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2389,1,1,0.0,1,length_bound,length_bound; publisher_citation; admin_rubric_noise; person_name; lab_or_project_course
Self-learning Topics: Study of any three different OS,System calls with examples for different OS,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3675,1,1,0.1429,1,admin_rubric_noise,admin_rubric_noise
based forecasting for more accurate,"Postman, and JMeter",2165113,Agile Software,SEM-V.pdf,0.0693,12,1,0.0,0,truncated_fragment,truncated_fragment; person_name
Backend: Java,Spring Boot,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2227,1,1,0.0,1,lab_or_project_course,lab_or_project_course
"role of sensors, actuators, and IoT boards such as Arduino, NodeMCU, and",Compare various IoT communication models and APIs. Discuss their significance in,2166121,Internet of Things,SEM-V.pdf,0.3742,2,1,0.1,1,tool_fragment,tool_fragment; truncated_fragment
Advanced Data Structures,dynamic programming,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3566,11,1,0.0,0,lab_or_project_course,lab_or_project_course
Self-Learning : Semi-Supervised and Active,Self-Learning : Support Vector Regression and,2166111,Machine,SEM-V.pdf,0.6351,2,1,0.3333,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
C’s of DevOps Lifecycle for Business,"Agility, DevOps and Continuous Testing",2165113,Agile Software,SEM-V.pdf,0.5748,1,1,0.0909,1,publisher_citation,publisher_citation
Self-learning Topics: Recent advances in Generative,ChatGPT-like models,2165112,Artificial,SEM-V.pdf,0.2384,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise
"enabled smart contracts, and how do they enhance automation?",based consensus is used,2166126,Blockchain,SEM-V.pdf,0.2643,3,1,0.0,0,truncated_fragment,truncated_fragment
"PIN check, balance enquiry, cash withdrawal, etc","Functional for processing input (filters, parsers)",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0798,10,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Technology Stack,Data types,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2725,9,1,0.0,0,lab_or_project_course,lab_or_project_course
and Course Name,Date of Exam,2165113,Agile Software,SEM-V.pdf,0.2272,1,1,0.0,1,person_name,person_name; admin_rubric_noise; truncated_fragment
Implement Rabin-Karp algorithm,Data Structures and Algorithm Analysis in C++ Mark Allen Weiss Pearson 4th Edition,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3618,7,1,0.0625,1,publisher_citation,publisher_citation; lab_or_project_course
Data types,Data management,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5799,8,1,0.3333,1,lab_or_project_course,lab_or_project_course
a. Student Grade Calculator (C / Python),"OOP for structuring code (User, Bot, ChatSession)",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1713,14,1,0.0,0,lab_or_project_course,lab_or_project_course
Learning and,Feature Importance and Selection,2166111,Machine,SEM-V.pdf,0.3603,10,1,0.2,0,truncated_fragment,truncated_fragment; person_name
Overview: Frontend: HTML,Control Statements,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1443,9,1,0.0,0,lab_or_project_course,lab_or_project_course
Controllers and Services- Role of Controller in MVC,@RestController vs. @Controller,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5825,2,1,0.1,1,lab_or_project_course,lab_or_project_course
Q3: List two common security threats in blockchain and their mitigation strategies,"enabled smart contracts, and how do they enhance automation?",2166126,Blockchain,SEM-V.pdf,0.3111,3,1,0.05,0,admin_rubric_noise,admin_rubric_noise
Simple List Comprehension,using Haskell,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3031,9,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Self-learning Topics: Various Network Performance,Task offloading strategies: local vs cloud,2166124,Edge Computing,SEM-V.pdf,0.2252,6,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Introduction to Data Analytics,Background and Overview of Data,2166112,Data Analytics,SEM-V.pdf,0.4901,1,1,0.125,1,truncated_fragment,truncated_fragment
"must be from different modules. For example, if Q.2 has part (a) from Module 3 then part",Max. Marks,2165113,Agile Software,SEM-V.pdf,0.068,7,1,0.0,0,length_bound,length_bound; admin_rubric_noise
Implement graph coloring,Implement Hamiltonian cycles,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3018,1,1,0.2,1,lab_or_project_course,lab_or_project_course
Karl Pearson’s coefficient of correlation (r),fitting of first-degree curves,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1088,4,1,0.0909,0,publisher_citation,publisher_citation
Types of time series: univariate and multivariate,and ARIMA concepts,2166120,Visualization Lab,SEM-V.pdf,0.3879,6,1,0.1111,1,person_name,person_name; truncated_fragment; lab_or_project_course
Q1: Differentiate between private and consortium blockchains,"enabled smart contracts, and how do they enhance automation?",2166126,Blockchain,SEM-V.pdf,0.2071,9,1,0.0667,0,admin_rubric_noise,admin_rubric_noise
Driven Programming,Event listeners for button presses,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0174,2,1,0.0,0,lab_or_project_course,lab_or_project_course
Self-learning Topics: Modes of Operation for,Real-World Case Studies,2166114,Security,SEM-V.pdf,0.2195,5,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Fourier series of even and odd functions (simple functions,Hal Frange Sine and Cosine Series,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3886,2,1,0.1667,1,truncated_fragment,truncated_fragment
descriptive analytics and sampling distribution,via Python tutorials. Read “Practical Statistics,2165111,Statistics for,SEM-V.pdf,0.2987,2,1,0.0,1,publisher_citation,publisher_citation
Text Books,"Roger Pressman, Software Engineering: A Practitioner's Approach, 6th edition, McGraw",2165113,Agile Software,SEM-V.pdf,0.2404,1,1,0.0,1,publisher_citation,publisher_citation
"DevOps: Introduction, DevOps - Importance",on DevOps adoption and automation practices,2165113,Agile Software,SEM-V.pdf,0.7321,11,1,0.125,1,truncated_fragment,truncated_fragment
controller methods,Understanding Request Mapping,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1932,1,1,0.0,0,lab_or_project_course,lab_or_project_course
Implement Naïve string matching algorithm,"Introduction to Algorithms Cormen, Leiserson, Rivest, Stein PHI 3rd Edition",2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2682,6,1,0.0,1,publisher_citation,publisher_citation; lab_or_project_course
Basic and Feasible solutions,Modular Arithmetic,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1567,8,1,0.0,0,person_name,person_name
Q3: Differentiate between a blockchain and a traditional database,Q2: Compare two blockchain platforms of your choice in terms of features and,2166126,Blockchain,SEM-V.pdf,0.5731,3,1,0.1111,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
dynamic programming,Implement graph coloring,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2566,7,1,0.0,0,lab_or_project_course,lab_or_project_course
Controller: Request,linking model and view,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2516,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Backtracking and Maximum flow Networks,Implement Hamiltonian cycles,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1688,5,1,0.0,0,lab_or_project_course,lab_or_project_course
"Students should do the survey and identify needs, which shall be converted into a problem statement for the mini",Faculty supervisor may give inputs to students during the mini project activity,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4965,6,1,0.1111,0,length_bound,length_bound; admin_rubric_noise; lab_or_project_course
and advanced features like CSS Grid,Project structure overview: pom.xml,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1182,12,1,0.0,0,person_name,person_name; truncated_fragment; lab_or_project_course
(b) guarded equations,Students should clearly understand the syntax and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2579,9,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment; lab_or_project_course
Define rules and constraints to solve 9x9 Sudoku puzzle,b. Traffic Light Simulation (JavaScript + HTML/CSS),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0648,12,1,0.0,0,lab_or_project_course,lab_or_project_course
Rank correlation coefficient (R) (with repeated and non,"learning Topics: Covariance, fitting of exponential",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1883,3,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch
Data Exploration and Anamoly Detection,EDA and feature exploration,2166120,Visualization Lab,SEM-V.pdf,0.4368,2,1,0.2857,1,person_name,person_name; lab_or_project_course
"inverse Laplace transform. (with s4 in denominator), Inverse","only, piecewise continuous function not to be included)",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0745,7,1,0.0,0,truncated_fragment,truncated_fragment
Controller: Request,adding images to,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0498,12,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Control Statements,"HTML 5, CSS 3 with Bootstrap HTML Basics & Structure: Learn HTML5 structure, semantic",2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0699,12,1,0.0,0,lab_or_project_course,lab_or_project_course
scripting essentials for automating tasks,and Edge computing platforms,2166124,Edge Computing,SEM-V.pdf,0.0897,3,1,0.0,0,truncated_fragment,truncated_fragment
Q3: Differentiate between a blockchain and a traditional database,Q3: Briefly explain Paxos and Raft consensus mechanisms,2166126,Blockchain,SEM-V.pdf,0.2032,12,1,0.1429,0,admin_rubric_noise,admin_rubric_noise
Regular Language,Application of Regular,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.5619,5,1,0.25,1,truncated_fragment,truncated_fragment
Introduction to Analysis of Algorithms,Implement Merge sort and Quicksort for the given list of,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2864,1,1,0.0714,1,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
o Proposed final solution,Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1219,7,1,0.0,0,person_name,person_name; lab_or_project_course
as edge nodes,Designing basic edge and fog architectures for,2166124,Edge Computing,SEM-V.pdf,0.4712,1,1,0.1111,1,truncated_fragment,truncated_fragment
Implementation of Ford-Fulkerson algorithm,Implementation of Bellman-Ford algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6628,2,1,0.6667,1,lab_or_project_course,lab_or_project_course
Methods: GET,controller methods,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5413,4,1,0.3333,1,lab_or_project_course,lab_or_project_course
Faculty supervisor may give inputs to students during the mini project activity,"In continuous assessment, focus shall also be on each individual student, assessment based on the individual’s",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3412,11,1,0.04,0,length_bound,length_bound; publisher_citation; lab_or_project_course
Text Books and References,"Algorithm Design Jon Kleinberg, Éva Tardos Pearson 1st Edition",2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2296,2,1,0.0,1,publisher_citation,publisher_citation; lab_or_project_course
Order Functions,natural numbers that use a predefined add function,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2876,2,1,0.0,1,person_name,person_name; subject_mismatch; lab_or_project_course
Parseval’s Identity (without proof) Fourier series of periodic,"orthogonal and orthonormal set of functions, Fourier",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4321,6,1,0.1429,0,publisher_citation,publisher_citation; truncated_fragment
Technology Stack,Introduction to OOP- Basic of,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2508,11,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
